7an	tujuan
@	di
ababil	abg labil
abis	habis
acc	akun
ad	ada
adaa	ada
adaaaa	ada
ademm	adem
adh	aduh
adlah	adalah
adlh	adalah
adm	admin
adoh	aduh
ads	iklan
afaik	as far as i know
aff	affiliate
affialiates	affiliate
affilate	affiliate
affiliat	affiliate
affiliateaku	affiliate aku
affiliateakun	affiliate akun
affiliateapapun	affiliate apapun
affiliatekita	affiliate kita
affiliateku	affiliate ku
affiliateleh	affiliatelah
affiliates	affiliate
affliator	affiliasi
afiliet	affiliate
affilite	affiliate
affliliate	affiliate
aga	agak
aha	tertawa
ahaha	haha
aing	saya
aiiya	aduh
aj	saja
aja	saja
ajaa	saja
ajaaa	saja
ajaah	saja
ajaahh	saja
ajahh	saja
ajalah	sajalah
ajapunya	saja punya
ajarin	mengajari
aje	saja
ajep-ajep	dunia gemerlap
ajg	anjing
ajgg	anjing
ajh	saja
ajj	saja
ak	saya
aka	dikenal juga sebagai
akaun	akun
akhirnyaaaaa	akhirnya
akhirakhir	akhir-akhir
akika	aku
akko	aku
akkoh	aku
akku	aku
akn	akan
ako	aku
aktifin	mengaktifkan
aktiv	aktif
akukamu	aku kamu
akunakun	akun
akunn	akun
akuu	aku
akuuu	aku
akuwh	aku
akyu	aku
alahai	aduh
alatalat	alat-alat
alay	norak
aljasa	asal jadi saja
allo	halo
aloo	halo
alooo	halo
alow	halo
ama	sama
amann	aman
amanahnipu	amanah menipu
ambik	ambil
ambilin	ambilkan
ambl	ambil
anakbayi	anak bayi
anaknyaaaaa	anaknya
ancur	hancur
angett	hangat
angkutt	angkut
anj	anjing
anjay	anjing
anjenggg	anjing
anjenggggg	anjing
anjg	anjing
anjgg	anjing
anjggg	anjing
anjinggg	anjing
anjir	anjing
anjirrr	anjing
anjirrrr	anjing
anjr	anjing
anjrit	anjing
anjrittttt	anjing
ank	anak
anon	anonim
anter	antar
anying	anjing
anyinkkk	anjing
anw	anyway
ap	apa
ap2	apa-apa
apaan	apa
apaapa	apa-apa
apakek	apa saja
apasih	apa sih
apayak	apa ya
ape	apa
apes	sial
apk	aplikasi
aplot	unggah
app	aplikasi
apprem	aplikasi premium
aps	apa
apva	apa
aq	saya
aqu	aku
aquwh	aku
asap	sesegera mungkin
asbun	asal bunyi
aseek	asyik
aseekk	asyik
asek	asyik
asekk	asyik
aseknya	asyiknya
asem	asam
aslianya	aslinya
asliii	asli
asoy	asyik
aspal	asli tetapi palsu
astrojim	astagfirullahaladzim
astul	asal tulis
atauuu	atau
atay	atau
ath	kalau begitu
ato	atau
atuh	kalau begitu
au	alternate universe
au ah	tidak mau tahu
ava	avatar
awak	saya
awalny	awalnya
aws	awas
ay	sayang
ayang	sayang
ayank	sayang
ayok	ayo
ayookk	ayo
ayooo	ayo
ayuukk	ayo
b4	sebelum
bacain	membacakan
bacot	banyak bicara
bagiin	membagikan
bagusss	bagus
bajucelanakerudungrok	baju celana kerudung rok
bajumurah	baju murah
bakaan	bakalan
bales	balas
balesan	balasan
balesannya	balasannya
ban	banned
bandes	bantuan desa
bangdes	pembangunan desa
bandinginnya	membandingkannya
badmin	badminton
bangedh	banget
bangeeet	banget
bangeeettt	banget
bangeet	banget
bangett	banget
bangettt	banget
bangettttt	banget
bangggg	bang
bangke	bangkai
bangkotan	tua
bangsaaat	bangsat
banhak	banyak
banpol	bantuan polisi
banpres	bantuan presiden
banpur	bantuan tempur
bansarkas	bantuan sarana kesehatan
banyakin	perbanyak
banyakkk	banyak
barangbarang	barang-barang
baruu	baru
basbang	basi
batreny	baterainya
bawak	bawa
bazis	badan amal, zakat, infak, dan sedekah
bb	berat badan
bbrp	beberapa
bcanda	bercanda
bcoz	karena
bdg	bandung
beb	sayang
bebasss	bebas
bedain	bedakan
begajulan	nakal
begok	bego
bethol	betul
bejibun	banyak
belii	beli
beliiii	beli
beliin	belikan
belikan	membelikan
belinyaa	belinya
belinyaaa	belinya
belom	belum
benarbenar	benar-benar
bencong	banci
bener	benar
beneran	benar
benerannya	sebenarnya
bentar	sebentar
bentarr	sebentar
berasa	merasa
ber2	berdua
ber3	bertiga
berbelanjaaa	berbelanja
berbeza	berbeda
berbisnes	berbisnis
berdikari	berdiri di atas kaki sendiri
beresin	membereskan
berharihari	berhari-hari
berkalikali	berkali-kali
berkalikalibeneran	berkali-kali benar
bermutual	berteman
bersihin	bersihkan
bertahuntahun	bertahun-tahun
bertemann	berteman
besti	sahabat
bestie	sahabat
bestiee	sahabat
bestieepasti	sahabat pasti
bestiii	sahabat
bet	banget
bete	bosan
beti	beda tipis
beud	banget
beut	banget
beza	beda
bf	boyfriend
bg	abang
bgd	banget
bgmn	bagaimana
bgs	bagus
bgsd	bangsat
bgst	bangsat
bgt	banget
bgtt	banget
bgttt	banget
bgttttt	banget
bgus	bagus
bhkn	bahkan
bhubu	tidur
biasaa	biasa
bijimane	bagaimana
bimbuluh	bimbingan dan penyuluhan
bingungg	bingung
bintal	bimbingan mental
binus	universitas bina nusantara
bisaa	bisa
bisadan	bisa dan
bisabisa	bisa-bisa
bisi	kalau-kalau
bisikin	bisikan
bjir	anjing
bkin	bikin
bkl	akan
bkn	bukan
bknnya	bukannya
bl	beli
blegug	bodoh
blg	bilang
blh	boleh
blm	belum
bln	bulan
block	blokir
blockin	memblokir
bloggersocial	blogger social
blok	blokir
blokin	blokir
blokirin	memblokir
bls	balas
blueee	twitter blue
blum	belum
bnchi	benci
bnci	benci
bneran	yang benar
bngung	bingung
bngt	banget
bngtt	banget
bnr	benar
bnran	yang benar
bnrr	benar
bntu	bantu
bnyak	banyak
bnyk	banyak
bo	prostitusi online
bocil	bocah cilik
bodo	bodoh
bodor	lucu
bohay	badan aduhai
bokap	ayah
bokep	video porno
bokepamp	video porno
boker	buang air besar
bokin	pacar
bokis	bohong
bole	boleh
bolee	boleh
boleeh	boleh
bolehh	boleh
boljug	boleh juga
bolot	bodoh
bonek	bocah nekat
bonyok	ayah ibu
bosen	bosan
boti	homoseksual
boyeh	boleh
bpk	bapak
br	baru
brang	barang
brb	segera kembali
brbandibg	berbanding
brg	bareng
brkali	berkali
brngkt	berangkat
bro	saudara laki-laki
brp	berapa
brrti	berarti
bru	baru
brur	saudara laki-laki
bs	bisa
bsa	bisa
bsbsnya	bisa-bisanya
bsen	bosan
bsk	besok
bt	bosan sekali
bt	buat
btw	ngomong-ngomong
bu_bu	tidur
buatkondangan	untuk undangan
buatt	buat
buaya	tidak setia
bub	block-unblock
bubarin	bubarkan
bubbu	tidur
buber	buka bersama
bubu	tidur
budgetnya	anggarannya
buh	bubuh
bujubune	luar biasa
bukak	buka
bukann	bukan
bulain	bulan
bumil	ibu hamil
burem	buram
buser	buru sergap
busettt	buset
busui	ibu menyusui
butuhin	butuhkan
buzzernya	buzzer nya
bw	bawa
bwhn	bawahan
bwt	buat
bwtkeluarga	buat keluarga
byar	bayar
byk	banyak
byr	bayar
byrin	bayarkan
c8	chat
cabal	sabar
cabut	pergi
cadas	keren
caem	cakep
cairin	mencairkan
cairinconvert	mencairkan konversi
cairinnya	mencairkannya
cakepp	cakep
calo	makelar
cam	camera
cama-cama	sama-sama
camne	bagaimana
camni	seperti ini
camtu	seperti itu
can	belum
cangcut	celana dalam
cantikk	cantik
cantulll	cantik
capcus	pergi
cape	capek
capeee	capek
caper	cari perhatian
capernya	cari perhatiannya
caramempromosikan	cara mempromosikan
caranyaa	caranya
cariin	mencari
caur	jelek
cs	customer service
ce	cewek
cekak	tidak ada uang
cekal	cegah tangkal
cekidot	coba lihat
cekk	cek
cekout	checkout
cekoutt	checkout
cemane	bagaimana
cemen	penakut
cemplungin	cemplungkan
cendall	sandal
cengengesan	tertawa
ceper	pendek
cepet	cepat
ceu	kakak perempuan
cew	cewek
cewe	cewek
cfdkonserwisudaanor	cfd konser wisudaan or
chekk	check
chekout	checkout
chuyunk	sayang
cht	chat
cibuk	sibuk
cihuy	hore
cimeng	ganja
cin	cinta
cingtaaa	cinta
cipika cipiki	cium pipi kanan cium pipi kiri
ciwi	cewek
ciye	cie
ciyh	sih
ckck	ck
ckepp	cakep
ckp	cakep
ckp	cukup
clbk	cinta lama bersemi kembali
cma	cuma
cmiiw	correct me if i'm wrong
cmn	cuman
cmne	bagaimana
cmpr	campur
cmpur	campur
cmtula	seperti itulah
cnenk	senang
co	checkout
cobain	mencoba
cock	cocok
cocoki	shopee cocoki
comell	comel
comot	mengambil
comparekan	bandingkan
condi	conditioner
cong	banci
congor	mulut
conlok	cinta lokasi
cow	cowok
cowwyy	maaf
coz	karena
cp	siapa
cpa	siapa
cpe	capek
cppa	siapa
cppe	capek
cpt	cepat
cptt	cepat
cpttt	cepat
cr	cara
cs	customer service
cuan	uang
cuannya	uangnya
cucok	cocok
cuek	tidak acuh
cuex	cuek
cuman	cuma
cumi	cuma miscall
cung	tunjuk tangan
cungg	tunjuk tangan
cungkring	kurus tinggi
cups	culun
cupu	culun
curanmor	pencurian kendaraan bermotor
curas	pencurian dengan kekerasan
curcol	curahan hati colongan
curhat	curahan hati
cwek	cewek
cwok	cowok
cyin	cinta
cz	karena
d	di
dadakan	mendadak
daftargabung	daftar gabung
daftarin	daftarkan
dagh	sudah
dah	sudah
dalem	dalam
daleman	pakaian dalam
damang	sehat
dapatin	mendapatkan
dapet	dapat
dapetin	mendapatkan
dapetnya	dapatnya
dare	tantangan
darimanee	dari mana
dateng	datang
de	adik
debutin	ditampilkan pertama kali
dech	deh
dek	adik
deket	dekat
demen	suka
denger	dengar
dengerin	mendengarkan
depo	deposit
deselingi	diselingi
dewasaganjaliquid	dewasa ganja liquid
deyh	deh
dftar	daftar
dftr	daftar
dg	dengan
dgangan	dagangan
dgn	dengan
dh	deh
diakalin	mengakali
diakuaku	diakui
diancurin	dihancurkan
dianggurin	dibiarkan
diapprove	disetujui
diaorang	mereka
dibales	dibalas
dibalikin	dikembalikan
dibekuin	dibekukan
dibio	dibiografi
diblend	dicampur
diblock	diblokir
dibolehin	dibolehkan
dibutuhin	dibutuhkan
dibuzzerin	dibuzzerkan
dibwa	dibawa
dibwh	dibawah
dicekout	dicheckout
dichackout	dicheckout
diclaim	diklaim
dico	dicheckout
didaftarin	didaftarkan
didengarkarena	didengar karena
diduitin	monetisasi
difolback	difollback
diem	diam
diemin	diamkan
digosipin	digosipkan
digunain	digunakan
dihubungin	dihubungkan
diinvite	diundang
dijadiin	dijadikan
dijelasin	dijelaskan
dijoinin	dimasukkan
dikit	sedikit
dikitdikit	sedikit-sedikit
dikumpulin	dikumpulkan
dilaporin	dilaporkan
dilewatin	dilewatkan
diliatnya	dilihatnya
dimaafin	dimaafkan
dimall	di mall
dimana2	dimana-mana
dimasukin	dimasukkan
diminati	minat
dimintain	diminta
dimintak	diminta
dimna	dimana
dipadupadankan	dipadu padankan
dipake	digunakan
dipakein	dipakaikan
dipanjangin	dipanjangkan
dipatahin	dipatahkan
dipromot	dipromosikan
diqbntu	dibantu
diramein	disebarkan
direport	dilaporkan
disalahin	disalahkan
disambungin	disambungkan
disangkasangka	disangka-sangka
disc	diskon
diselipin	diselipkan
disinidisana	disini disana
diskonny	diskonnya
disono	di sana
disosmed	di sosial media
ditanyain	ditanyakan
ditaroh	ditaruh
ditautin	ditautkan
ditempatsosmed	di tempat sosial media
